,title,image_file,research_area,name,institution,subunit,location,full_affiliation,institution_clean,year,Country
10,A Probabilistic Exemplar-Based Model for Case-Based Reasoning,2000_001_0003.png,Probabilistic & Statistical Reasoning,L. Enrique Sucar,ITESM,"Departamento de Computación, Campus Morelos","Cuernavaca, Mor., México","Departamento de Computación, ITESM - Campus Morelos AP C-99, Cuernavaca, Mor., 62020, México",ITESM,2000,Mexico
11,Intensification and Diversification Strategies with Tabu Search: One-Machine Problem with Weighted Tardiness Objective,2000_001_0004.png,Heuristic Search & Optimization,Ricardo P. Beausoleil,Institute of Cybernetics Mathematics and Physics,Department of Optimization,"Havana, Cuba","Institute of Cybernetics Mathematics and Physics Department of Optimization, City of Havana, Havana p.c. 10400,Cuba",~ICMP,2000,Cuba
12,A Methodology to Parallel the Temperature Cycle in Simulated Annealing,2000_001_0005.png,Heuristic Search & Optimization,Héctor Sanvicente Sánchez,IMTA,,"Jiutepec, Morelos, México","IMTA, Paseo Cuauhnahuac 8532, Col Progreso, C.P. 62550, Jiutepec, Morelos, México",IMTA,2000,Mexico
13,A Methodology to Parallel the Temperature Cycle in Simulated Annealing,2000_001_0005.png,Heuristic Search & Optimization,Juan Frausto Solís,ITESM,Campus Morelos,"Cuernavaca, Morelos, México","ITESM Campus Morelos, Reforma 182-A, Col. Lomas de Cuernavaca, A.P. 99-C, Cuernavaca, Morelos, México",ITESM,2000,Mexico
14,Vertical Fragmentation and Allocation in Distributed Databases with Site Capacity Restrictions Using the Threshold Accepting Algorithm,2000_001_0006.png,Heuristic Search & Optimization,Joaquín Pérez,Instituto de Investigaciones Eléctricas,,,Instituto de Investigaciones Eléctricas | Centro Nacional de Investigación y Desarrollo Tecnológico,IIE,2000,Mexico
15,Vertical Fragmentation and Allocation in Distributed Databases with Site Capacity Restrictions Using the Threshold Accepting Algorithm,2000_001_0006.png,Heuristic Search & Optimization,Joaquín Pérez,Centro Nacional de Investigación y Desarrollo Tecnológico,,,Instituto de Investigaciones Eléctricas | Centro Nacional de Investigación y Desarrollo Tecnológico,CENIDET,2000,Mexico
16,Vertical Fragmentation and Allocation in Distributed Databases with Site Capacity Restrictions Using the Threshold Accepting Algorithm,2000_001_0006.png,Heuristic Search & Optimization,Rodolfo Pazos,Centro Nacional de Investigación y Desarrollo Tecnológico,,,Centro Nacional de Investigación y Desarrollo Tecnológico,CENIDET,2000,Mexico
17,Vertical Fragmentation and Allocation in Distributed Databases with Site Capacity Restrictions Using the Threshold Accepting Algorithm,2000_001_0006.png,Heuristic Search & Optimization,Juan Frausto,ITESM,Campus Morelos,,ITESM Campus Morelos,ITESM,2000,Mexico
18,Vertical Fragmentation and Allocation in Distributed Databases with Site Capacity Restrictions Using the Threshold Accepting Algorithm,2000_001_0006.png,Heuristic Search & Optimization,David Romero,UNAM,Instituto de Matemáticas,,"Instituto de Matemáticas, UNAM",UNAM,2000,Mexico
19,Vertical Fragmentation and Allocation in Distributed Databases with Site Capacity Restrictions Using the Threshold Accepting Algorithm,2000_001_0006.png,Heuristic Search & Optimization,Laura Cruz,Instituto Tecnológico de Cd. Madero,,,Instituto Tecnológico de Cd. Madero,ITCM,2000,Mexico
20,A Practical Approach for Logic Program Analysis and Transformation,2000_001_0007.png,Logic & Automated Reasoning,Wamberto Weber-Vasconcelos,Universidade Estadual do Ceará,Departamento de Estatística e Computação,"Fortaleza, Ceará, Brazil","Departamento de Estatística e Computação, Universidade Estadual do Ceará, Av. Paranjana, 1700 – 60.740-000 Fortaleza Ceará, Brazil",~UEDC,2000,Brazil
21,A Practical Approach for Logic Program Analysis and Transformation,2000_001_0007.png,Logic & Automated Reasoning,Eudenia Xavier Meneses,Universidade Estadual do Ceará,Departamento de Estatística e Computação,"Fortaleza, Ceará, Brazil","Departamento de Estatística e Computação, Universidade Estadual do Ceará, Av. Paranjana, 1700 – 60.740-000 Fortaleza Ceará, Brazil",~UEDC,2000,Brazil
22,Experiments in Answer Sets Planning (Extended Abstract),2000_001_0008.png,Knowledge Representation & Reasoning,M. Balduccini,Università degli Studi dell'Insubria,Centro di ricerca “Informatica Interattiva” | Dipartimento di Scienze dell’Informazione,"Varese, Italy | Milano, Italy","Centro di ricerca “Informatica Interattiva”, Università degli Studi dell’Insubria a Varese, Italy. Dipartimento di Scienze dell’Informazione, Università degli Studi di Milano, Italy.",~UDSD,2000,Italy
23,Experiments in Answer Sets Planning (Extended Abstract),2000_001_0008.png,Knowledge Representation & Reasoning,M. Balduccini,Università degli Studi di Milano,Centro di ricerca “Informatica Interattiva” | Dipartimento di Scienze dell’Informazione,"Varese, Italy | Milano, Italy","Centro di ricerca “Informatica Interattiva”, Università degli Studi dell’Insubria a Varese, Italy. Dipartimento di Scienze dell’Informazione, Università degli Studi di Milano, Italy.",~UDSDM,2000,Italy
24,Experiments in Answer Sets Planning (Extended Abstract),2000_001_0008.png,Knowledge Representation & Reasoning,G. Brignoli,Università degli Studi dell'Insubria,Centro di ricerca “Informatica Interattiva” | Dipartimento di Scienze dell’Informazione,"Varese, Italy | Milano, Italy","Centro di ricerca “Informatica Interattiva”, Università degli Studi dell’Insubria a Varese, Italy. Dipartimento di Scienze dell’Informazione, Università degli Studi di Milano, Italy.",~UDSD,2000,Italy
25,Experiments in Answer Sets Planning (Extended Abstract),2000_001_0008.png,Knowledge Representation & Reasoning,G. Brignoli,Università degli Studi di Milano,Centro di ricerca “Informatica Interattiva” | Dipartimento di Scienze dell’Informazione,"Varese, Italy | Milano, Italy","Centro di ricerca “Informatica Interattiva”, Università degli Studi dell’Insubria a Varese, Italy. Dipartimento di Scienze dell’Informazione, Università degli Studi di Milano, Italy.",~UDSDM,2000,Italy
26,Experiments in Answer Sets Planning (Extended Abstract),2000_001_0008.png,Knowledge Representation & Reasoning,G.A. Lanzarone,Università degli Studi dell'Insubria,Centro di ricerca “Informatica Interattiva” | Dipartimento di Scienze dell’Informazione,"Varese, Italy | Milano, Italy","Centro di ricerca “Informatica Interattiva”, Università degli Studi dell’Insubria a Varese, Italy. Dipartimento di Scienze dell’Informazione, Università degli Studi di Milano, Italy.",~UDSD,2000,Italy
27,Experiments in Answer Sets Planning (Extended Abstract),2000_001_0008.png,Knowledge Representation & Reasoning,G.A. Lanzarone,Università degli Studi di Milano,Centro di ricerca “Informatica Interattiva” | Dipartimento di Scienze dell’Informazione,"Varese, Italy | Milano, Italy","Centro di ricerca “Informatica Interattiva”, Università degli Studi dell’Insubria a Varese, Italy. Dipartimento di Scienze dell’Informazione, Università degli Studi di Milano, Italy.",~UDSDM,2000,Italy
28,Experiments in Answer Sets Planning (Extended Abstract),2000_001_0008.png,Knowledge Representation & Reasoning,F. Magni,Università degli Studi dell'Insubria,Centro di ricerca “Informatica Interattiva” | Dipartimento di Scienze dell’Informazione,"Varese, Italy | Milano, Italy","Centro di ricerca “Informatica Interattiva”, Università degli Studi dell’Insubria a Varese, Italy. Dipartimento di Scienze dell’Informazione, Università degli Studi di Milano, Italy.",~UDSD,2000,Italy
29,Experiments in Answer Sets Planning (Extended Abstract),2000_001_0008.png,Knowledge Representation & Reasoning,F. Magni,Università degli Studi di Milano,Centro di ricerca “Informatica Interattiva” | Dipartimento di Scienze dell’Informazione,"Varese, Italy | Milano, Italy","Centro di ricerca “Informatica Interattiva”, Università degli Studi dell’Insubria a Varese, Italy. Dipartimento di Scienze dell’Informazione, Università degli Studi di Milano, Italy.",~UDSDM,2000,Italy
30,Experiments in Answer Sets Planning (Extended Abstract),2000_001_0008.png,Knowledge Representation & Reasoning,A. Provetti,Università degli Studi dell'Insubria,Centro di ricerca “Informatica Interattiva” | Dipartimento di Scienze dell’Informazione,"Varese, Italy | Milano, Italy","Centro di ricerca “Informatica Interattiva”, Università degli Studi dell’Insubria a Varese, Italy. Dipartimento di Scienze dell’Informazione, Università degli Studi di Milano, Italy.",~UDSD,2000,Italy
31,Experiments in Answer Sets Planning (Extended Abstract),2000_001_0008.png,Knowledge Representation & Reasoning,A. Provetti,Università degli Studi di Milano,Centro di ricerca “Informatica Interattiva” | Dipartimento di Scienze dell’Informazione,"Varese, Italy | Milano, Italy","Centro di ricerca “Informatica Interattiva”, Università degli Studi dell’Insubria a Varese, Italy. Dipartimento di Scienze dell’Informazione, Università degli Studi di Milano, Italy.",~UDSDM,2000,Italy
32,Competitive Learning Methods for Efficient Vector Quantizations in a Speech Recognition Environment,2000_001_0009.png,Neural Networks & Deep Learning,F. Curatelli,University of Genova,DIBE,"Genova, Italy","DIBE – University of Genova, Via Opera Pia 11A, 16145, Genova, Italy",~UG,2000,Italy
33,Competitive Learning Methods for Efficient Vector Quantizations in a Speech Recognition Environment,2000_001_0009.png,Neural Networks & Deep Learning,O. Mayora-Ibarra,University of Genova,DIBE,"Genova, Italy","DIBE – University of Genova, Via Opera Pia 11A, 16145, Genova, Italy",~UG,2000,Italy
34,Facial Expression Recognition and Modeling for Virtual Intelligent Tutoring Systems,2000_001_0010.png,Computer Vision,Homero V. Ríos,"Laboratorio Nacional de Informática Avanzada, A.C.",,"Xalapa, Veracruz, México","Laboratorio Nacional de Informática Avanzada, A.C. Rébsamen 80, c.p. 91090, Xalapa, Veracruz, México",LANIA,2000,Mexico
35,Facial Expression Recognition and Modeling for Virtual Intelligent Tutoring Systems,2000_001_0010.png,Computer Vision,Ana Luisa Solís,Universidad Nacional Autónoma de México,"Departamento de Matemáticas, Facultad de Ciencias",,"Departamento de Matemáticas, Facultad de Ciencias, Universidad Nacional Autónoma de México",UNAM,2000,Mexico
36,Facial Expression Recognition and Modeling for Virtual Intelligent Tutoring Systems,2000_001_0010.png,Computer Vision,Emilio Aguirre,"Laboratorio Nacional de Informática Avanzada, A.C.",,"Xalapa, Veracruz, México","Laboratorio Nacional de Informática Avanzada, A.C. Rébsamen 80, c.p. 91090, Xalapa, Veracruz, México",LANIA,2000,Mexico
37,Facial Expression Recognition and Modeling for Virtual Intelligent Tutoring Systems,2000_001_0010.png,Computer Vision,Lourdes Guerrero,Universidad Nacional Autónoma de México,"Departamento de Matemáticas, Facultad de Ciencias",,"Departamento de Matemáticas, Facultad de Ciencias, Universidad Nacional Autónoma de México",UNAM,2000,Mexico
38,Facial Expression Recognition and Modeling for Virtual Intelligent Tutoring Systems,2000_001_0010.png,Computer Vision,Joaquín Peña,"Laboratorio Nacional de Informática Avanzada, A.C.",,"Xalapa, Veracruz, México","Laboratorio Nacional de Informática Avanzada, A.C. Rébsamen 80, c.p. 91090, Xalapa, Veracruz, México",LANIA,2000,Mexico
39,Facial Expression Recognition and Modeling for Virtual Intelligent Tutoring Systems,2000_001_0010.png,Computer Vision,Alberto Santamaría,"Laboratorio Nacional de Informática Avanzada, A.C.",,"Xalapa, Veracruz, México","Laboratorio Nacional de Informática Avanzada, A.C. Rébsamen 80, c.p. 91090, Xalapa, Veracruz, México",LANIA,2000,Mexico
40,Detection and Tracking of Facial Features in Video Sequences,2000_001_0011.png,Computer Vision,Rogério Schmidt Feris,University of São Paulo,"CreatiVision - Creative Vision Research Group, Department of Computer Science, DCC-IME-USP","São Paulo, SP, Brazil","CreatiVision - Creative Vision Research Group
Department of Computer Science
DCC-IME-USP, University of São Paulo
Rua do Matão, 1010, São Paulo, SP, 05508-900, Brazil",*USP,2000,Brazil
41,Detection and Tracking of Facial Features in Video Sequences,2000_001_0011.png,Computer Vision,Teófilo Emídio de Campos,University of São Paulo,"CreatiVision - Creative Vision Research Group, Department of Computer Science, DCC-IME-USP","São Paulo, SP, Brazil","CreatiVision - Creative Vision Research Group
Department of Computer Science
DCC-IME-USP, University of São Paulo
Rua do Matão, 1010, São Paulo, SP, 05508-900, Brazil",*USP,2000,Brazil
42,Detection and Tracking of Facial Features in Video Sequences,2000_001_0011.png,Computer Vision,Roberto Marcondes Cesar Junior,University of São Paulo,"CreatiVision - Creative Vision Research Group, Department of Computer Science, DCC-IME-USP","São Paulo, SP, Brazil","CreatiVision - Creative Vision Research Group
Department of Computer Science
DCC-IME-USP, University of São Paulo
Rua do Matão, 1010, São Paulo, SP, 05508-900, Brazil",*USP,2000,Brazil
43,An Application of Behavior-Based Architecture for Mobile Robots Design,2000_001_0012.png,Robotics,Sergio Uribe-Gutierrez,ITESM,"Centro de Inteligencia Artificial, Campus Monterrey","Monterrey, N.L., MEXICO","Centro de Inteligencia Artificial, ITESM Campus Monterrey, Ave. Eugenio Garza Sada 2501, Monterrey, N.L. 64849 MEXICO",ITESM,2000,Mexico
44,An Application of Behavior-Based Architecture for Mobile Robots Design,2000_001_0012.png,Robotics,Horacio Martinez-Alfaro,ITESM,"Centro de Inteligencia Artificial, Campus Monterrey","Monterrey, N.L., MEXICO","Centro de Inteligencia Artificial, ITESM Campus Monterrey, Ave. Eugenio Garza Sada 2501, Monterrey, N.L. 64849 MEXICO",ITESM,2000,Mexico
45,Cooperative Simulated Annealing for Path Planning in Multi-robot Systems,2000_001_0013.png,Robotics,Gildardo Sánchez-Ante,ITESM,"Department of Computer Science, Campus Morelos","Cuernavaca, Morelos, MEXICO","Department of Computer Science
ITESM Campus Morelos
Av. Paseo de la Reforma 182-A
Cuernavaca, Morelos, 62589
MEXICO",ITESM,2000,Mexico
46,Cooperative Simulated Annealing for Path Planning in Multi-robot Systems,2000_001_0013.png,Robotics,Fernando Ramos,ITESM,"Department of Computer Science, Campus Morelos","Cuernavaca, Morelos, MEXICO","Department of Computer Science
ITESM Campus Morelos
Av. Paseo de la Reforma 182-A
Cuernavaca, Morelos, 62589
MEXICO",ITESM,2000,Mexico
47,Cooperative Simulated Annealing for Path Planning in Multi-robot Systems,2000_001_0013.png,Robotics,Juan Frausto,ITESM,"Department of Computer Science, Campus Morelos","Cuernavaca, Morelos, MEXICO","Department of Computer Science
ITESM Campus Morelos
Av. Paseo de la Reforma 182-A
Cuernavaca, Morelos, 62589
MEXICO",ITESM,2000,Mexico
48,Learning Probabilistic Grid-Based Maps for Indoor Mobile Robots Using Ultrasonic and Laser Range Sensors,2000_001_0014.png,Robotics,Leonardo Romero,ITESM,Campus Morelos,"Temixco, Morelos, Mexico","ITESM, Campus Morelos, Temixco, Morelos, 62589, Mexico",ITESM,2000,Mexico
49,Learning Probabilistic Grid-Based Maps for Indoor Mobile Robots Using Ultrasonic and Laser Range Sensors,2000_001_0014.png,Robotics,Eduardo Morales,ITESM,Campus Morelos,"Temixco, Morelos, Mexico","ITESM, Campus Morelos, Temixco, Morelos, 62589, Mexico",ITESM,2000,Mexico
50,Learning Probabilistic Grid-Based Maps for Indoor Mobile Robots Using Ultrasonic and Laser Range Sensors,2000_001_0014.png,Robotics,Enrique Sucar,ITESM,Campus Morelos,"Temixco, Morelos, Mexico","ITESM, Campus Morelos, Temixco, Morelos, 62589, Mexico",ITESM,2000,Mexico
51,Evolving Insect Locomotion Using Cooperative Genetic Programming,2000_001_0015.png,Bio-inspired & Evolutionary Computing,Edgar E. Vallejo,ITESM,"Computer Science Department, Campus Estado de México","Atizapán, Edo. México, México","Computer Science Department, ITESM Campus Estado de México Apdo. Postal 50, Módulo de Servicio Postal Campus Estado de México del ITESM, 52926 Atizapán, Edo. México, México",ITESM,2000,Mexico
52,Evolving Insect Locomotion Using Cooperative Genetic Programming,2000_001_0015.png,Bio-inspired & Evolutionary Computing,Fernando Ramos,ITESM,"Graduate School of Informatics, Campus Morelos","Cuernavaca, Morelos, México","Graduate School of Informatics, ITESM Campus Morelos Ave. Paseo de la Reforma 182 Col. Lomas de Cuernavaca, 62589 Cuernavaca, Morelos, México",ITESM,2000,Mexico
53,On the Minimal Cooperative Attitude in Multi-robotics Systems,2000_001_0016.png,Robotics,Giovani Gómez,ITESM,"Department of Computer Science, Campus Morelos","Cuernavaca, Morelos, México","Department of Computer Science. ITESM Campus Morelos. Ap. Postal C-99 62050, Cuernavaca, Morelos. México.",ITESM,2000,Mexico
54,On the Minimal Cooperative Attitude in Multi-robotics Systems,2000_001_0016.png,Robotics,Fernando Ramos,ITESM,"Department of Computer Science, Campus Morelos","Cuernavaca, Morelos, México","Department of Computer Science. ITESM Campus Morelos. Ap. Postal C-99 62050, Cuernavaca, Morelos. México.",ITESM,2000,Mexico
55,Eigenfaces Versus Eigeneyes: First Steps Toward Performance Assessment of Representations for Face Recognition,2000_001_0017.png,Computer Vision,Teófilo Emídio de Campos,University of São Paulo,"CreatiVision - Creativision Research Group, Department of Computer Science, DCC-IME-USP","São Paulo, SP, Brazil","CreatiVision - Creativision Research Group, Department of Computer Science, DCC-IME-USP, University of São Paulo, Rua do Matão, 1010, São Paulo, SP, 05508-900, Brazil",*USP,2000,Brazil
56,Eigenfaces Versus Eigeneyes: First Steps Toward Performance Assessment of Representations for Face Recognition,2000_001_0017.png,Computer Vision,Rogério Schmidt Feris,University of São Paulo,"CreatiVision - Creativision Research Group, Department of Computer Science, DCC-IME-USP","São Paulo, SP, Brazil","CreatiVision - Creativision Research Group, Department of Computer Science, DCC-IME-USP, University of São Paulo, Rua do Matão, 1010, São Paulo, SP, 05508-900, Brazil",*USP,2000,Brazil
57,Eigenfaces Versus Eigeneyes: First Steps Toward Performance Assessment of Representations for Face Recognition,2000_001_0017.png,Computer Vision,Roberto Marcondes Cesar Junior,University of São Paulo,"CreatiVision - Creativision Research Group, Department of Computer Science, DCC-IME-USP","São Paulo, SP, Brazil","CreatiVision - Creativision Research Group, Department of Computer Science, DCC-IME-USP, University of São Paulo, Rua do Matão, 1010, São Paulo, SP, 05508-900, Brazil",*USP,2000,Brazil
58,A Neurocontrol Scheme of a 2-DOF Manipulator Using CMAC,2000_001_0018.png,Neural Networks & Deep Learning,Raúl Leal Ascencio,"Instituto Tecnológico de Estudios Superiores de Occidente, ITESO","Depto. de Electrónica, Sistemas e Informática","Tlaquepaque Jal., México","Depto. de Electrónica, Sistemas e Informática
Instituto Tecnológico de Estudios Superiores de Occidente, ITESO,
Tlaquepaque Jal., 45090, México",ITESO,2000,Mexico
59,A Neurocontrol Scheme of a 2-DOF Manipulator Using CMAC,2000_001_0018.png,Neural Networks & Deep Learning,Marco Perez Cisneros,"Instituto Tecnológico de Estudios Superiores de Occidente, ITESO","Depto. de Electrónica, Sistemas e Informática","Tlaquepaque Jal., México","Depto. de Electrónica, Sistemas e Informática
Instituto Tecnológico de Estudios Superiores de Occidente, ITESO,
Tlaquepaque Jal., 45090, México",ITESO,2000,Mexico
60,A New Approach for the Solution of Multiple Objective Optimization Problems Based on Reinforcement Learning,2000_001_0019.png,Reinforcement Learning,Carlos Mariano,Instituto Mexicano de Tecnología del Agua,,"Jiutepec, Morelos, Mexico","Instituto Mexicano de Tecnología del Agua, Paseo Cuauhnáhuac 8532, Jiutepec, Morelos, 62550, Mexico.",IMTA,2000,Mexico
61,A New Approach for the Solution of Multiple Objective Optimization Problems Based on Reinforcement Learning,2000_001_0019.png,Reinforcement Learning,Eduardo Morales,ITESM,Campus Morelos,"Temixco, Morelos, Mexico","ITESM – Campus Morelos, Paseo de la Reforma 182-A, Temixco, Morelos, 62589, Mexico,",ITESM,2000,Mexico
62,Automatic Extraction of Logic Program Transformations from Examples,2000_001_0020.png,Knowledge Representation & Reasoning,Wamberto Weber-Vasconcelos,Universidade Estadual do Ceará,Departmento de Estatística e Computação,"Ceará, Brazil","Departmento de Estatística e Computação, Universidade Estadual do Ceará, Ceará, Brazil",~UEDC,2000,Brazil
63,Automatic Extraction of Logic Program Transformations from Examples,2000_001_0020.png,Knowledge Representation & Reasoning,Marcelo A.T. Aragão,Banco Central do Brasil,Departmento de Informática,"Brasília, Brazil","Departmento de Informática, Banco Central do Brasil, Brasília, Brazil",~BCDB,2000,Brazil
64,Modifications to the Credit Apportionment Mechanism of a Simple Classifier System,2000_001_0021.png,Bio-inspired & Evolutionary Computing,Carlos Zozaya-Gorostiza,Instituto Tecnológico Autónomo de México,División Académica de Ingeniería,"México D.F., México","Instituto Tecnológico Autónomo de México, División Académica de Ingeniería, Río Hondo # 1, México D.F. 01000, México",ITAM,2000,Mexico
65,Modifications to the Credit Apportionment Mechanism of a Simple Classifier System,2000_001_0021.png,Bio-inspired & Evolutionary Computing,David R. Orellana-Moyao,Instituto Tecnológico Autónomo de México,División Académica de Ingeniería,"México D.F., México","Instituto Tecnológico Autónomo de México, División Académica de Ingeniería, Río Hondo # 1, México D.F. 01000, México",ITAM,2000,Mexico
66,A Framework for Interleaving Planning-while-Learning and Execution,2000_001_0022.png,Knowledge Representation & Reasoning,Marcello Balduccini,Università degli Studi dell'Insubria,Centro di Ricerca “Informatica Interattiva”,"Varese, Italy","Centro di Ricerca “Informatica Interattiva”
Università degli Studi dell'Insubria
via Ravasi 2, I-21100 Varese (Italy)",~UDSD,2000,Italy
67,Integrated Reinforcement and Evolutionary Learning Algorithm: Application to Alife in a Shared World,2000_001_0023.png,Bio-inspired & Evolutionary Computing,Jianjun Yan,Utsunomiya University,"Computer Science Department, Faculty of Engineering","Utsunomiya, Japan","Computer Science Department, Faculty of Engineering, Utsunomiya University, Utsunomiya 321-8585, Japan",~UU,2000,Japan
68,Integrated Reinforcement and Evolutionary Learning Algorithm: Application to Alife in a Shared World,2000_001_0023.png,Bio-inspired & Evolutionary Computing,Naoyuki Tokuda,Utsunomiya University,"Computer Science Department, Faculty of Engineering","Utsunomiya, Japan","Computer Science Department, Faculty of Engineering, Utsunomiya University, Utsunomiya 321-8585, Japan",~UU,2000,Japan
69,Integrated Reinforcement and Evolutionary Learning Algorithm: Application to Alife in a Shared World,2000_001_0023.png,Bio-inspired & Evolutionary Computing,Juichi Miyamichi,Utsunomiya University,"Computer Science Department, Faculty of Engineering","Utsunomiya, Japan","Computer Science Department, Faculty of Engineering, Utsunomiya University, Utsunomiya 321-8585, Japan",~UU,2000,Japan
70,RuLess: A Method for the Acquisition and Simplification of Rules,2000_001_0024.png,Hybrid AI & Expert Systems,Pablo R. de Buen Rodriguez,Instituto de Investigaciones Eléctricas,,"Temixco, Mor., Mexico","Instituto de Investigaciones Eléctricas, Av. Paseo de la Reforma 113, Temixco, Mor., 62490, Mexico; Tel. (7)318-38-11 ext.7797; Fax: (7)318-25-38; debuen@iie.org.mx",IIE,2000,Mexico
71,RuLess: A Method for the Acquisition and Simplification of Rules,2000_001_0024.png,Hybrid AI & Expert Systems,Eduardo F. Morales,ITESM,Campus Morelos,"Temixco, Mor., Mexico","ITESM - Campus Morelos, Av. Paseo de la Reforma 182-A, Temixco, Mor., 62589, Mexico; emorales@campus.mor.itesm.mx",ITESM,2000,Mexico
72,RuLess: A Method for the Acquisition and Simplification of Rules,2000_001_0024.png,Hybrid AI & Expert Systems,Sunil Vadera,University of Salford,Department of Computer and Mathematical Sciences,"Salford, UK","Department of Computer and Mathematical Sciences, University of Salford, Salford, M5 4WT, UK; S.Vadera@cms.salford.ac.uk",*USAL,2000,United Kingdom
73,"Applying Reinforcement Learning to Improve MCOE, an Intelligent Learning Environment for Ecology",2000_001_0025.png,Reinforcement Learning,Daniel Antonio Callegari,Pontifícia Universidade Católica do Rio Grande do Sul - PUCRS,Programa de Pós-Graduação em Ciência da Computação,"Porto Alegre, RS, Brazil","Pontifícia Universidade Católica do Rio Grande do Sul - PUCRS
Programa de Pós-Graduação em Ciência da Computação,
Av. Ipiranga 6681 - prédio 16, Porto Alegre, RS - Brazil - 90610-900",~PUCDRGDS,2000,Brazil
74,"Applying Reinforcement Learning to Improve MCOE, an Intelligent Learning Environment for Ecology",2000_001_0025.png,Reinforcement Learning,Flávio Moreira de Oliveira,Pontifícia Universidade Católica do Rio Grande do Sul - PUCRS,Programa de Pós-Graduação em Ciência da Computação,"Porto Alegre, RS, Brazil","Pontifícia Universidade Católica do Rio Grande do Sul - PUCRS
Programa de Pós-Graduação em Ciência da Computação,
Av. Ipiranga 6681 - prédio 16, Porto Alegre, RS - Brazil - 90610-900",~PUCDRGDS,2000,Brazil
75,Rapid Fine-Tuning of Computationally Intensive Classifiers,2000_001_0026.png,Supervised Machine Learning,Stefan Zemke,Stockholm University,Department of Computer and Systems Sciences,"Kista, Sweden","Department of Computer and Systems Sciences
Stockholm University/KTH, Electrum 230, 164 40 Kista, Sweden",~SU,2000,Sweden
